"word","cat","Biology","Drama","Fiction","History","Music","Poetry"
28218,"Poetry",6.79354173069908e-08,0.0453903445473546,3.58810698477635e-06,0.000671026949385552,0.181280038287154,0.772654934173704
24912,"Music",1.26635091542961e-22,0.000290397847205524,3.13192781044101e-26,0.460390111158879,1.79907487247036e-08,0.539319473003167
26445,"Poetry",1.12004555395884e-05,0.0321902367282377,0.00336072581633298,0.0110551121067514,0.241364665303276,0.712018059589862
6241,"Fiction",0.0081966324957203,3.97930376779406e-05,0.895532781737078,0.0500271455873704,0.0406522410519628,0.00555140609019099
19993,"Poetry",0.00044974434269182,0.000618696572155802,0.971404430084554,0.00756126498007227,0.00674398240152317,0.0132218816190029
17371,"Fiction",0.514917034402239,2.67874272548458e-29,0.485082965586524,1.1133101482594e-11,1.03455984113346e-13,1.85935187180833e-20
12096,"History",0.000699402498498308,0.00706744087355241,0.0568613856103155,0.0248743355203206,0.545665280408436,0.364832155088877
18314,"History",3.2038451606847e-05,0.000388707981816958,0.000169307970795118,0.892084901735543,0.0277309255240192,0.0795941183362184
29739,"Biology",0.999999999126037,2.79764967235899e-39,1.0656102879075e-12,8.72896730683381e-10,3.91965169854761e-16,1.81541791901497e-27
12141,"Drama",2.62877388690094e-31,0.99999713055159,1.12575532849955e-23,2.24438435297193e-12,2.67601302751235e-18,2.86944616591007e-06
2913,"Drama",1.58856365718809e-08,0.921509814150609,0.0409361428351675,0.000191372693439761,6.70411354842316e-06,0.0373559503215989
5923,"Fiction",8.36834343269716e-49,2.44616942708008e-110,1,2.50965992544024e-91,1.56045912458696e-118,7.74102740005607e-116
15400,"History",7.86885642280831e-06,2.60247195041759e-07,1.68155829922909e-06,0.999637478960408,0.000131937149702819,0.000220773227972056
7067,"Drama",7.96549890854465e-39,0.999999999999925,5.39233924342953e-14,1.84593989055743e-26,2.16309288513015e-33,2.11176691696813e-14
10530,"Music",0.00204448536946725,0.00272445747344888,0.150589565668365,0.183310612388075,0.399624940310196,0.261705938790448
30720,"Poetry",0.000915221143986792,0.00520273108296372,0.0518141205007881,0.486489260014792,0.198435602852744,0.257143064404725
24083,"Poetry",0.000341456920700028,0.019609202149547,0.100571282762837,0.092699444399267,0.227069326300947,0.559709287466702
20264,"Drama",2.94567471358837e-09,1.00219265022274e-14,1.1294302091244e-15,2.07593180533728e-10,0.999999987642968,9.20375278239711e-09
18396,"Poetry",2.1930001970103e-09,0.0711118125420106,1.42964488373123e-07,2.42132484787615e-06,0.256172014712924,0.672713606262729
1669,"Drama",6.46487067088408e-13,0.000822724333261942,1.58241621202118e-14,0.72199309598719,0.000894154368680002,0.276290025310205
24456,"Biology",0.0218011545280554,1.57034167261964e-07,0.97082828231555,0.00444988212861827,0.0028421499107873,7.83740828212428e-05
29649,"Poetry",2.59293418757063e-16,0.396674038893779,6.6599666430898e-16,0.00326199457369321,3.05359985983601e-05,0.600033430533928
7882,"History",0.00526735198459372,2.00505710190105e-05,0.96118082244722,0.0141303908512311,0.0161028830003653,0.00329850114557121
4174,"History",7.11621798822867e-09,1.68200445619575e-08,5.14151822172518e-08,0.999997932169623,3.01721678604713e-09,1.98946171596305e-06
13589,"Drama",2.48001127754068e-23,0.999801553444654,1.67368533505863e-16,2.02428251696307e-10,1.58387810248698e-12,0.000198446351333657
11073,"Poetry",2.18352418936962e-16,0.0576105806098042,2.30835619102463e-16,0.067180396255556,2.09817647535805e-06,0.875206924958164
7235,"Drama",3.06546649415167e-25,0.999998965663421,3.06754313674402e-13,4.56011877611514e-16,6.15366955679447e-16,1.03433627151146e-06
20533,"Music",3.75426927896721e-13,1.31161446963611e-10,1.07839013030594e-21,2.50200454821484e-05,0.99994189013083,3.308969215137e-05
2462,"Fiction",0.0106518941078182,1.02310512989046e-12,0.985850595635928,0.00349745723718972,5.04426136192521e-08,2.57542730348276e-09
6742,"Drama",1.56439404191054e-50,0.999999999968251,1.72739716134823e-37,5.2288120686031e-25,4.77524987673801e-30,3.1749289148693e-11
25711,"Biology",0.997740043518888,1.25517882619613e-16,0.000149276965457828,0.00210406526596644,6.61415574539098e-06,9.39414471368035e-11
20078,"Music",2.68909479364648e-10,0.0150020124033531,5.4165692634338e-10,0.000145783411974406,0.24454325918757,0.740308944186536
3602,"Fiction",1.21848358827004e-13,1.49791498120661e-32,0.999999999999878,3.96361667859653e-24,1.98639734938965e-34,2.47755967850856e-33
4180,"History",4.32781493023022e-08,3.38627617927234e-11,3.18053345039495e-07,0.999999628198799,2.71706112439049e-11,1.04086732107155e-08
2053,"History",0.00112593779109694,0.00127674107383406,0.0339043974463344,0.642247828752257,0.154492643421956,0.166952451514521
10653,"Music",0.00133609491580021,0.00263819828015753,0.0681813432940537,0.198778871208881,0.446188815301347,0.28287667699976
10850,"Drama",6.55665252018603e-97,1,6.72661336231179e-69,1.81975514929709e-41,1.48943478119451e-70,3.63799177155121e-26
4040,"Music",1.63177719389879e-05,0.0849772286191853,0.011855042317565,0.0342571053749389,0.0710766296140368,0.797817676302335
21871,"History",0.000158665379798763,4.47172660996721e-06,0.999531358798398,6.9289283219705e-05,0.000167365871601244,6.88489403720432e-05
