"word","cat","nnet.Biology","nnet.Drama","nnet.Fiction","nnet.History","nnet.Music","nnet.Poetry"
28218,"Poetry",0.00255294777285858,0.00752603244561933,0.00000693848436737002,0.00493516153424082,0.772122623286834,0.21285629647608
24912,"Music",0.0234009526172521,0.0000000136660199619918,0.00553971178757518,0.0000000757182493610317,0.00000107318071877613,0.971058173030185
26445,"Poetry",0.00350362932276319,0.0364969492510747,0.119200970905401,0.275691921137988,0.206840489729295,0.358266039653477
6241,"Fiction",0.0000026735407191325,0.000202318249898631,0.823606927482574,0.174486243714481,0.000492267335403659,0.00120956967692363
19993,"Poetry",0.00000364199303802657,0.000616216979929249,0.982507192739476,0.0161172833569385,0.0000466504016882246,0.000709014528929956
17371,"Fiction",1.75065497639627e-31,4.08967295265683e-34,1,1.05636586537018e-38,1.92465214851134e-55,1.45699062175879e-33
12096,"History",0.00835242590104352,0.0166353462622605,0.0179076027048783,0.0683518427128801,0.16989308460318,0.718859697815758
18314,"History",0.00115563773015972,0.0157357427316398,0.0314602751585332,0.533888941479294,0.208248495582764,0.209510907317609
29739,"Biology",0.9999921655143,1.28424160928507e-14,1.71208152033454e-22,2.96495611418999e-22,6.94014273023692e-10,0.00000783379167324672
12141,"Drama",0.000000221102359563264,0.999470414029738,0.00000100073734403307,0.000382384669156032,0.000130112034717682,0.0000158674266855073
2913,"Drama",0.0145616384939085,0.920430644192608,0.000632359441158886,0.0000293315843151418,0.000546410813629993,0.0637996154743794
5923,"Fiction",1.08588529898797e-146,1.48316478407059e-63,1,3.57708989911154e-100,2.62986493438163e-197,1.22830033971946e-172
15400,"History",0.000479234706642219,0.0176492712875141,0.0579547489998345,0.772754961363427,0.0789870486162389,0.0721747350263437
7067,"Drama",4.91078026305568e-10,0.999672454095314,0.000323688174207633,0.00000383283583111694,0.00000000130612678858577,0.0000000230974424438597
10530,"Music",0.00364671208731592,0.0151015643876308,0.110607297527774,0.304654934721281,0.152860988355585,0.413128502920412
30720,"Poetry",0.00857780482952392,0.0267483131801477,0.132129631306757,0.127396815832085,0.155818408612531,0.549329026238955
24083,"Poetry",0.0040741213507985,0.036323511137008,0.0947881004595345,0.287553514414184,0.163373874730543,0.413886877907933
20264,"Drama",0.0000256208452546753,9.6733204067117e-13,3.57892370841427e-25,1.65620682527767e-14,0.99995250822878,0.0000218709249812502
18396,"Poetry",0.00220179249441042,0.00723402368047659,0.000321952329695314,0.0174598597240924,0.320886573707571,0.651895798063754
1669,"Drama",0.00000089381761026329,0.00408347419527891,0.944853439525269,0.0508728451768243,0.0000284092673028799,0.000160938017714793
24456,"Biology",0.0000789903701562756,0.0012666038044642,0.873044948478763,0.113061671948243,0.00182359059787109,0.0107241948005023
29649,"Poetry",0.00000174046100644525,0.00548511942400338,0.000252185322934237,0.967317912863106,0.0256507427461011,0.00129229918284883
7882,"History",0.000006045804706183,0.000155232864659884,0.884288382967171,0.113029310517967,0.00035008843509574,0.00217093941040065
4174,"History",0.000000251652732220971,0.00296243678024239,0.290164681235265,0.706408466533305,0.000223112703072869,0.000241051095381596
13589,"Drama",0.00000301172842262434,0.420085842963027,0.323203521750023,0.255127622402757,0.000681806978039137,0.000898194177731702
11073,"Poetry",0.0151191935521091,0.000773070929230443,0.0160069871167142,0.000777330211513137,0.00232357660270541,0.964999841587728
7235,"Drama",0.000000549081547031662,0.843916479551658,0.138414385146174,0.0175326359793804,0.0000243705852596,0.000111579655981662
20533,"Music",0.153669315352133,7.11540925750122e-10,1.66764636560954e-23,1.60415539581678e-15,0.844220587877776,0.00211009605854803
2462,"Fiction",1.32841989150157e-10,0.00000354505458414156,0.963577591301831,0.0364185079914235,0.000000225965268962921,0.000000129554050753074
6742,"Drama",0.000000107325264416047,0.999985232743222,0.000000176583615819141,0.00000163401216372067,0.000000787305082405337,0.0000120620306518549
25711,"Biology",0.860565517848797,0.0000158704239445427,0.0000000172458733313543,0.0000000623583969441809,0.00324771462556591,0.136170817497423
20078,"Music",0.444978537838488,0.000619533104918534,0.00000000381737100012672,0.0000000384628950869183,0.0199027619917929,0.534499124784535
3602,"Fiction",1.26971603853054e-25,3.88880924769758e-18,0.999999999851597,1.48403260399483e-10,3.30041911123779e-25,4.7205518968749e-21
4180,"History",0.00000000252617513456352,0.000148780898277327,0.761333532632876,0.23851030961261,0.00000246807277437281,0.00000490625728710383
2053,"History",0.00259530408175174,0.0251277778183841,0.13766799987662,0.421721481831292,0.12782186776745,0.285065568624503
10653,"Music",0.0031767050366694,0.0208653138969574,0.104835588356406,0.344471678531245,0.168054544078085,0.358596170100637
10850,"Drama",1.45827778469812e-14,0.99999999999972,1.36395609554107e-23,5.2240287929782e-17,2.49049506611652e-13,1.66428450588639e-14
4040,"Music",0.00341426622938315,0.0600502933890918,0.0835618186216069,0.321033630951239,0.172571087349177,0.359368903459502
21871,"History",0.000000171639400573849,0.0000965940453450621,0.954527797582606,0.0452749995738903,0.0000247632845479167,0.0000756738742102727
18356,"History",8.35250099716758e-10,0.000515904543473376,0.999172008398516,0.000311851434452907,0.00000000289206695344821,0.00000023189624008246
28537,"Fiction",0.00000000632323170534554,0.0000136981454871525,0.999508564950606,0.000475001565334084,0.0000000310480072735632,0.00000269796733346404
11857,"Poetry",0.00698875119014384,0.0193822208847632,0.00981791785233345,0.0928089908876293,0.327556860265177,0.543445258919953
3853,"Fiction",0.00263760094042004,0.0134176813526639,0.20353275603688,0.378653275896717,0.107018017851067,0.294740667922251
15569,"Fiction",0.258515831474312,0.00696639366312742,0.0000000124831981130399,0.00000242897774339392,0.139631954031826,0.594883379369794
37298,"Music",0.0000559368472349945,0.000000656822850916323,8.30862060771376e-16,0.0000000189031256842646,0.999379832618013,0.000563554808774264
7986,"Drama",0.000015078911743798,0.00173213075512696,0.909308206617069,0.085148720194537,0.000507187047382044,0.00328867647414095
